sep=,
"Input","Match type","Approved symbol","Approved name","HGNC ID","Location"
"SLC25A5","Approved symbol","SLC25A5","solute carrier family 25 member 5","HGNC:10991","Xq24"
"MCUB","Approved symbol","MCUB","mitochondrial calcium uniporter dominant negative subunit beta","HGNC:26076","4q25"
"HOXA11","Approved symbol","HOXA11","homeobox A11","HGNC:5101","7p15.2"
"POLR2J","Approved symbol","POLR2J","RNA polymerase II subunit J","HGNC:9197","7q22.1"
"DHX33","Approved symbol","DHX33","DEAH-box helicase 33","HGNC:16718","17p13.2"
"MEOX1","Approved symbol","MEOX1","mesenchyme homeobox 1","HGNC:7013","17q21.31"
"THSD7A","Approved symbol","THSD7A","thrombospondin type 1 domain containing 7A","HGNC:22207","7p21.3"
"LIG3","Approved symbol","LIG3","DNA ligase 3","HGNC:6600","17q12"
"RPAP3","Approved symbol","RPAP3","RNA polymerase II associated protein 3","HGNC:26151","12q13.11"
"ACSM3","Approved symbol","ACSM3","acyl-CoA synthetase medium chain family member 3","HGNC:10522","16p12.3"
"REXO5","Approved symbol","REXO5","RNA exonuclease 5","HGNC:24661","16p12.3"
"CIAPIN1","Approved symbol","CIAPIN1","cytokine induced apoptosis inhibitor 1","HGNC:28050","16q21"
"SPPL2B","Approved symbol","SPPL2B","signal peptide peptidase like 2B","HGNC:30627","19p13.3"
"ATOSB","Approved symbol","ATOSB","atos homolog B","HGNC:25666","9p13.3"
"COPZ2","Approved symbol","COPZ2","COPI coat complex subunit zeta 2","HGNC:19356","17q21.32"
"PRKAR2B","Approved symbol","PRKAR2B","protein kinase cAMP-dependent type II regulatory subunit beta","HGNC:9392","7q22.3"
"MSL3","Approved symbol","MSL3","MSL complex subunit 3","HGNC:7370","Xp22.2"
"CREBBP","Approved symbol","CREBBP","CREB binding lysine acetyltransferase","HGNC:2348","16p13.3"
"TSPOAP1","Approved symbol","TSPOAP1","TSPO associated protein 1","HGNC:16831","17q22"
"MPO","Approved symbol","MPO","myeloperoxidase","HGNC:7218","17q22"
"PON1","Approved symbol","PON1","paraoxonase 1","HGNC:9204","7q21.3"
"GCFC2","Approved symbol","GCFC2","GC-rich sequence DNA-binding factor 2","HGNC:1317","2p12"
"WDR54","Approved symbol","WDR54","WD repeat domain 54","HGNC:25770","2p13.1"
"CROT","Approved symbol","CROT","carnitine O-octanoyltransferase","HGNC:2366","7q21.12"
"ABCB4","Approved symbol","ABCB4","ATP binding cassette subfamily B member 4","HGNC:45","7q21.12"
"KMT2E","Approved symbol","KMT2E","lysine methyltransferase 2E (inactive)","HGNC:18541","7q22.3"
"RHBDD2","Approved symbol","RHBDD2","rhomboid domain containing 2","HGNC:23082","7q11.23"
"SOX8","Approved symbol","SOX8","SRY-box transcription factor 8","HGNC:11203","16p13.3"
"IBTK","Approved symbol","IBTK","inhibitor of Bruton tyrosine kinase","HGNC:17853","6q14.1"
"ZNF195","Approved symbol","ZNF195","zinc finger protein 195","HGNC:12986","11p15.5"
"MYCBP2","Approved symbol","MYCBP2","MYC binding protein 2","HGNC:23386","13q22.3"
"FBXL3","Approved symbol","FBXL3","F-box and leucine rich repeat protein 3","HGNC:13599","13q22.3"
"ITGAL","Approved symbol","ITGAL","integrin subunit alpha L","HGNC:6148","16p11.2"
"PDK2","Approved symbol","PDK2","pyruvate dehydrogenase kinase 2","HGNC:8810","17q21.33"
"ITGA3","Approved symbol","ITGA3","integrin subunit alpha 3","HGNC:6139","17q21.33"
"ZFX","Approved symbol","ZFX","zinc finger protein X-linked","HGNC:12869","Xp22.11"
"LAMP2","Approved symbol","LAMP2","lysosomal associated membrane protein 2","HGNC:6501","Xq24"
"ITGA2B","Approved symbol","ITGA2B","integrin subunit alpha 2b","HGNC:6138","17q21.31"
"ASB4","Approved symbol","ASB4","ankyrin repeat and SOCS box containing 4","HGNC:16009","7q21.3"
"GDE1","Approved symbol","GDE1","glycerophosphodiester phosphodiesterase 1","HGNC:29644","16p12.3"
"REX1BD","Approved symbol","REX1BD","required for excision 1-B domain containing","HGNC:26098","19p13.11"
"CRLF1","Approved symbol","CRLF1","cytokine receptor like factor 1","HGNC:2364","19p12"
"OSBPL7","Approved symbol","OSBPL7","oxysterol binding protein like 7","HGNC:16387","17q21.32"
"TMEM98","Approved symbol","TMEM98","transmembrane protein 98","HGNC:24529","17q11.2"
"YBX2","Approved symbol","YBX2","Y-box binding protein 2","HGNC:17948","17p13.1"
"KRT33A","Approved symbol","KRT33A","keratin 33A","HGNC:6450","17q21.2"
"MAP3K14","Approved symbol","MAP3K14","mitogen-activated protein kinase kinase kinase 14","HGNC:6853","17q21.31"
"ABCC8","Approved symbol","ABCC8","ATP binding cassette subfamily C member 8","HGNC:59","11p15.1"
"CACNG3","Approved symbol","CACNG3","calcium voltage-gated channel auxiliary subunit gamma 3","HGNC:1407","16p12.1"
"TMEM132A","Approved symbol","TMEM132A","transmembrane protein 132A","HGNC:31092","11q12.2"
"AP2B1","Approved symbol","AP2B1","adaptor related protein complex 2 subunit beta 1","HGNC:563","17q12"
"TAC1","Approved symbol","TAC1","tachykinin precursor 1","HGNC:11517","7q21.3"
"ZNF263","Approved symbol","ZNF263","zinc finger protein 263","HGNC:13056","16p13.3"
"CX3CL1","Approved symbol","CX3CL1","C-X3-C motif chemokine ligand 1","HGNC:10647","16q21"
"SPATA20","Approved symbol","SPATA20","spermatogenesis associated 20","HGNC:26125","17q21.33"
"CACNA1G","Approved symbol","CACNA1G","calcium voltage-gated channel subunit alpha1 G","HGNC:1394","17q21.33"
"TNFRSF12A","Approved symbol","TNFRSF12A","TNF receptor superfamily member 12A","HGNC:18152","16p13.3"
"DLX6","Approved symbol","DLX6","distal-less homeobox 6","HGNC:2919","7q21.3"
"MAP3K9","Approved symbol","MAP3K9","mitogen-activated protein kinase kinase kinase 9","HGNC:6861","14q24.2"
"RALA","Approved symbol","RALA","RAS like proto-oncogene A","HGNC:9839","7p14.1"
"BAIAP2L1","Approved symbol","BAIAP2L1","BAR/IMD domain containing adaptor protein 2 like 1","HGNC:21649","7q21.3-q22.1"
"KDM7A","Approved symbol","KDM7A","lysine demethylase 7A","HGNC:22224","7q34"
"ETV1","Approved symbol","ETV1","ETS variant transcription factor 1","HGNC:3490","7p21.2"
"AGK","Approved symbol","AGK","acylglycerol kinase","HGNC:21869","7q34"
"ALDH3B1","Approved symbol","ALDH3B1","aldehyde dehydrogenase 3 family member B1","HGNC:410","11q13.2"
"TTC22","Approved symbol","TTC22","tetratricopeptide repeat domain 22","HGNC:26067","1p32.3"
"PHTF2","Approved symbol","PHTF2","putative homeodomain transcription factor 2","HGNC:13411","7q11.23-q21.11"
"CCL26","Approved symbol","CCL26","C-C motif chemokine ligand 26","HGNC:10625","7q11.23"
"FARP2","Approved symbol","FARP2","FERM, ARH/RhoGEF and pleckstrin domain protein 2","HGNC:16460","2q37.3"
"USH1C","Approved symbol","USH1C","USH1 protein network component harmonin","HGNC:12597","11p15.1"
"GGCT","Approved symbol","GGCT","gamma-glutamylcyclotransferase","HGNC:21705","7p14.3"
"DBF4","Approved symbol","DBF4","DBF4-CDC7 kinase regulatory subunit","HGNC:17364","7q21.12"
"TBXA2R","Approved symbol","TBXA2R","thromboxane A2 receptor","HGNC:11608","19p13.3"
"IFRD1","Approved symbol","IFRD1","interferon related developmental regulator 1","HGNC:5456","7q31.1"
"LGALS14","Approved symbol","LGALS14","galectin 14","HGNC:30054","19q13.2"
"COX10","Approved symbol","COX10","cytochrome c oxidase assembly factor heme A:farnesyltransferase COX10","HGNC:2260","17p12"
"GTF2IRD1","Approved symbol","GTF2IRD1","GTF2I repeat domain containing 1","HGNC:4661","7q11.23"
"PAF1","Approved symbol","PAF1","PAF1 homolog, Paf1/RNA polymerase II complex component","HGNC:25459","19q13.2"
"VPS41","Approved symbol","VPS41","VPS41 subunit of HOPS complex","HGNC:12713","7p14.1"
"ARHGAP44","Approved symbol","ARHGAP44","Rho GTPase activating protein 44","HGNC:29096","17p12"
"ELAC2","Approved symbol","ELAC2","elaC ribonuclease Z 2","HGNC:14198","17p12"
"SCIN","Approved symbol","SCIN","scinderin","HGNC:21695","7p21.3"
"ARSD","Approved symbol","ARSD","arylsulfatase D","HGNC:717","Xp22.33"
"PNPLA4","Approved symbol","PNPLA4","patatin like domain 4, phospholipase and triacylglycerol lipase","HGNC:24887","Xp22.31"
"MYH13","Approved symbol","MYH13","myosin heavy chain 13","HGNC:7571","17p13.1"
"ADIPOR2","Approved symbol","ADIPOR2","adiponectin receptor 2","HGNC:24041","12p13.33"
"CDKL3","Approved symbol","CDKL3","cyclin dependent kinase like 3","HGNC:15483","5q31.1"
"UPP2","Approved symbol","UPP2","uridine phosphorylase 2","HGNC:23061","2q24.1"
"PRSS21","Approved symbol","PRSS21","serine protease 21","HGNC:9485","16p13.3"
"MARK4","Approved symbol","MARK4","microtubule affinity regulating kinase 4","HGNC:13538","19q13.32"
"PROM1","Approved symbol","PROM1","prominin 1","HGNC:9454","4p15.32"
"CCDC124","Approved symbol","CCDC124","coiled-coil domain containing 124","HGNC:25171","19p13.11"
"CEACAM21","Approved symbol","CEACAM21","CEA cell adhesion molecule 21","HGNC:28834","19q13.2"
"PAFAH1B1","Approved symbol","PAFAH1B1","platelet activating factor acetylhydrolase 1b regulatory subunit 1","HGNC:8574","17p13.3"
"NOS2","Approved symbol","NOS2","nitric oxide synthase 2","HGNC:7873","17q11.2"
"NOS2","Alias symbol","NANOS2","nanos C2HC-type zinc finger 2","HGNC:23292","19q13.32"
"DNAH9","Approved symbol","DNAH9","dynein axonemal heavy chain 9","HGNC:2953","17p12"
"BLTP2","Approved symbol","BLTP2","bridge-like lipid transfer protein family member 2","HGNC:28960","17q11.2"
"SLC13A2","Approved symbol","SLC13A2","solute carrier family 13 member 2","HGNC:10917","17q11.2"
"GAS7","Approved symbol","GAS7","growth arrest specific 7","HGNC:4169","17p13.1"
"TRAPPC6A","Approved symbol","TRAPPC6A","trafficking protein particle complex subunit 6A","HGNC:23069","19q13.32"
"MATK","Approved symbol","MATK","megakaryocyte-associated tyrosine kinase","HGNC:6906","19p13.3"
"CEACAM7","Approved symbol","CEACAM7","CEA cell adhesion molecule 7","HGNC:1819","19q13.2"
"CD79B","Approved symbol","CD79B","CD79b molecule","HGNC:1699","17q23.3"
"SCN4A","Approved symbol","SCN4A","sodium voltage-gated channel alpha subunit 4","HGNC:10591","17q23.3"
"ST7L","Approved symbol","ST7L","suppression of tumorigenicity 7 like","HGNC:18441","1p13.2"
"TKTL1","Approved symbol","TKTL1","transketolase like 1","HGNC:11835","Xq28"
"PAX6","Approved symbol","PAX6","paired box 6","HGNC:8620","11p13"
"RPUSD1","Approved symbol","RPUSD1","RNA pseudouridine synthase domain containing 1","HGNC:14173","16p13.3"
"RHBDF1","Approved symbol","RHBDF1","rhomboid 5 homolog 1","HGNC:20561","16p13.3"
"LUC7L","Approved symbol","LUC7L","LUC7 like","HGNC:6723","16p13.3"
"CACNA2D2","Approved symbol","CACNA2D2","calcium voltage-gated channel auxiliary subunit alpha2delta 2","HGNC:1400","3p21.31"
"BAIAP3","Approved symbol","BAIAP3","BAI1 associated protein 3","HGNC:948","16p13.3"
"TSR3","Approved symbol","TSR3","TSR3 ribosome maturation factor","HGNC:14175","16p13.3"
"PIGQ","Approved symbol","PIGQ","phosphatidylinositol glycan anchor biosynthesis class Q","HGNC:14135","16p13.3"
"CRAMP1","Approved symbol","CRAMP1","cramped chromatin regulator homolog 1","HGNC:14122","16p13.3"
"TEAD3","Approved symbol","TEAD3","TEA domain transcription factor 3","HGNC:11716","6p21.31"
"SELE","Approved symbol","SELE","selectin E","HGNC:10718","1q24.2"
"DNAJC11","Approved symbol","DNAJC11","DnaJ heat shock protein family (Hsp40) member C11","HGNC:25570","1p36.31"
"FMO3","Approved symbol","FMO3","flavin containing dimethylaniline monoxygenase 3","HGNC:3771","1q24.3"
"MYLIP","Approved symbol","MYLIP","myosin regulatory light chain interacting protein","HGNC:21155","6p22.3"
"NOX1","Approved symbol","NOX1","NADPH oxidase 1","HGNC:7889","Xq22.1"
"E2F2","Approved symbol","E2F2","E2F transcription factor 2","HGNC:3114","1p36.12"
"PSMB1","Approved symbol","PSMB1","proteasome 20S subunit beta 1","HGNC:9537","6q27"
"SYN1","Approved symbol","SYN1","synapsin I","HGNC:11494","Xp11.3-p11.23"
"JARID2","Approved symbol","JARID2","jumonji and AT-rich interaction domain containing 2","HGNC:6196","6p22.3"
"CDKL5","Approved symbol","CDKL5","cyclin dependent kinase like 5","HGNC:11411","Xp22.13"
"CAMK1G","Approved symbol","CAMK1G","calcium/calmodulin dependent protein kinase IG","HGNC:14585","1q32.2"
"CDK11A","Approved symbol","CDK11A","cyclin dependent kinase 11A","HGNC:1730","1p36.33"
"NADK","Approved symbol","NADK","NAD kinase","HGNC:29831","1p36.33"
"TFAP2B","Approved symbol","TFAP2B","transcription factor AP-2 beta","HGNC:11743","6p12.3"
"TFAP2D","Approved symbol","TFAP2D","transcription factor AP-2 delta","HGNC:15581","6p12.3"
"DLEC1","Approved symbol","DLEC1","DLEC1 cilia and flagella associated protein","HGNC:2899","3p22.2"
"CYTH3","Approved symbol","CYTH3","cytohesin 3","HGNC:9504","7p22.1"
"ADAM22","Approved symbol","ADAM22","ADAM metallopeptidase domain 22","HGNC:201","7q21.12"
"SYPL1","Approved symbol","SYPL1","synaptophysin like 1","HGNC:11507","7q22.3"
"CYB561","Approved symbol","CYB561","cytochrome b561","HGNC:2571","17q23.3"
"SPAG9","Approved symbol","SPAG9","sperm associated antigen 9","HGNC:14524","17q21.33"
"CELSR3","Approved symbol","CELSR3","cadherin EGF LAG seven-pass G-type receptor 3","HGNC:3230","3p21.31"
"AASS","Approved symbol","AASS","aminoadipate-semialdehyde synthase","HGNC:17366","7q31.32"
"PLEKHG6","Approved symbol","PLEKHG6","pleckstrin homology and RhoGEF domain containing G6","HGNC:25562","12p13.31"
"SS18L2","Approved symbol","SS18L2","SS18 like 2","HGNC:15593","3p22.1"
"MPND","Approved symbol","MPND","MPN domain containing","HGNC:25934","19p13.3"
"MGST1","Approved symbol","MGST1","microsomal glutathione S-transferase 1","HGNC:7061","12p12.3"
"CRY1","Approved symbol","CRY1","cryptochrome circadian regulator 1","HGNC:2384","12q23.3"
"PGLYRP1","Approved symbol","PGLYRP1","peptidoglycan recognition protein 1","HGNC:8904","19q13.32"
"NFIX","Approved symbol","NFIX","nuclear factor I X","HGNC:7788","19p13.13"
"ST3GAL1","Approved symbol","ST3GAL1","ST3 beta-galactoside alpha-2,3-sialyltransferase 1","HGNC:10862","8q24.22"
"MMP25","Approved symbol","MMP25","matrix metallopeptidase 25","HGNC:14246","16p13.3"
"IL32","Approved symbol","IL32","interleukin 32","HGNC:16830","16p13.3"
"PKD1","Approved symbol","PKD1","polycystin 1, transient receptor potential channel interacting","HGNC:9008","16p13.3"
"MAPK8IP2","Approved symbol","MAPK8IP2","mitogen-activated protein kinase 8 interacting protein 2","HGNC:6883","22q13.33"
"MED24","Approved symbol","MED24","mediator complex subunit 24","HGNC:22963","17q21.1"
"MED24","Alias symbol","MED22","mediator complex subunit 22","HGNC:11477","9q34.2"
"RHOBTB2","Approved symbol","RHOBTB2","Rho related BTB domain containing 2","HGNC:18756","8p21.3"
"HEATR5B","Approved symbol","HEATR5B","HEAT repeat containing 5B","HGNC:29273","2p22.2"
"SEC62","Approved symbol","SEC62","SEC62 homolog, preprotein translocation factor","HGNC:11846","3q26.2"
"RPS20","Approved symbol","RPS20","ribosomal protein S20","HGNC:10405","8q12.1"
"CSDE1","Approved symbol","CSDE1","cold shock domain containing E1","HGNC:29905","1p13.2"
"UBE3C","Approved symbol","UBE3C","ubiquitin protein ligase E3C","HGNC:16803","7q36.3"
"REV3L","Approved symbol","REV3L","REV3 like, DNA directed polymerase zeta catalytic subunit","HGNC:9968","6q21"
"TENM1","Approved symbol","TENM1","teneurin transmembrane protein 1","HGNC:8117","Xq25"
"PAX7","Approved symbol","PAX7","paired box 7","HGNC:8621","1p36.13"
"MASP2","Approved symbol","MASP2","MBL associated serine protease 2","HGNC:6902","1p36.22"
"IYD","Approved symbol","IYD","iodotyrosine deiodinase","HGNC:21071","6q25.1"
"FAM76A","Approved symbol","FAM76A","family with sequence similarity 76 member A","HGNC:28530","1p35.3"
"TRAF3IP3","Approved symbol","TRAF3IP3","TRAF3 interacting protein 3","HGNC:30766","1q32.2"
"POMT2","Approved symbol","POMT2","protein O-mannosyltransferase 2","HGNC:19743","14q24.3"
"VTA1","Approved symbol","VTA1","vesicle trafficking 1","HGNC:20954","6q24.1-q24.2"
"MLXIPL","Approved symbol","MLXIPL","MLX interacting protein like","HGNC:12744","7q11.23"
"BAZ1B","Approved symbol","BAZ1B","bromodomain adjacent to zinc finger domain 1B","HGNC:961","7q11.23"
"RANBP9","Approved symbol","RANBP9","RAN binding protein 9","HGNC:13727","6p23"
"ETV7","Approved symbol","ETV7","ETS variant transcription factor 7","HGNC:18160","6p21.31"
"SPRTN","Approved symbol","SPRTN","SprT-like N-terminal domain","HGNC:25356","1q42.2"
"METTL13","Approved symbol","METTL13","methyltransferase 13, eEF1A N-terminus and K55","HGNC:24248","1q24.3"
"DYRK4","Approved symbol","DYRK4","dual specificity tyrosine phosphorylation regulated kinase 4","HGNC:3095","12p13.32"
"ZNF207","Approved symbol","ZNF207","zinc finger protein 207","HGNC:12998","17q11.2"
"UQCRC1","Approved symbol","UQCRC1","ubiquinol-cytochrome c reductase core protein 1","HGNC:12585","3p21.31"
"STARD3NL","Approved symbol","STARD3NL","STARD3 N-terminal like","HGNC:19169","7p14.1"
"CD9","Approved symbol","CD9","CD9 molecule","HGNC:1709","12p13.31"
"HHATL","Approved symbol","HHATL","hedgehog acyltransferase like","HGNC:13242","3p22.1"
"NCAPD2","Approved symbol","NCAPD2","non-SMC condensin I complex subunit D2","HGNC:24305","12p13.31"
"IFFO1","Approved symbol","IFFO1","intermediate filament family orphan 1","HGNC:24970","12p13.31"
"GIPR","Approved symbol","GIPR","gastric inhibitory polypeptide receptor","HGNC:4271","19q13.32"
"PHF7","Approved symbol","PHF7","PHD finger protein 7","HGNC:18458","3p21.1"
"SEMA3G","Approved symbol","SEMA3G","semaphorin 3G","HGNC:30400","3p21.1"
"NISCH","Approved symbol","NISCH","nischarin","HGNC:18006","3p21.1"
"STAB1","Approved symbol","STAB1","stabilin 1","HGNC:18628","3p21.1"
"FUZ","Approved symbol","FUZ","fuzzy planar cell polarity protein","HGNC:26219","19q13.33"
"SLC6A13","Approved symbol","SLC6A13","solute carrier family 6 member 13","HGNC:11046","12p13.33"
"IDS","Approved symbol","IDS","iduronate 2-sulfatase","HGNC:5389","Xq28"
"PRSS3","Approved symbol","PRSS3","serine protease 3","HGNC:9486","9p13.3"
"ZNF200","Approved symbol","ZNF200","zinc finger protein 200","HGNC:12993","16p13.3"
"CD4","Approved symbol","CD4","CD4 molecule","HGNC:1678","12p13.31"
"LRRC23","Approved symbol","LRRC23","leucine rich repeat containing 23","HGNC:19138","12p13.31"
"BTK","Approved symbol","BTK","Bruton tyrosine kinase","HGNC:1133","Xq22.1"
"HFE","Approved symbol","HFE","homeostatic iron regulator","HGNC:4886","6p22.2"
"SCMH1","Approved symbol","SCMH1","Scm polycomb group protein homolog 1","HGNC:19003","1p34.2"
"FYN","Approved symbol","FYN","FYN proto-oncogene, Src family tyrosine kinase","HGNC:4037","6q21"
"HIVEP2","Approved symbol","HIVEP2","HIVEP zinc finger 2","HGNC:4921","6q24.2"
"FMO1","Approved symbol","FMO1","flavin containing dimethylaniline monoxygenase 1","HGNC:3769","1q24.3"
"ELOA","Approved symbol","ELOA","elongin A","HGNC:11620","1p36.11"
"LYPLA2","Approved symbol","LYPLA2","lysophospholipase 2","HGNC:6738","1p36.11"
"CLCN6","Approved symbol","CLCN6","chloride voltage-gated channel 6","HGNC:2024","1p36.22"
"MRC2","Approved symbol","MRC2","mannose receptor C-type 2","HGNC:16875","17q23.2"
"NME1-NME2","Approved symbol","NME1-NME2","NME1-NME2 readthrough","HGNC:33531","17q21.33"
"SLC6A7","Approved symbol","SLC6A7","solute carrier family 6 member 7","HGNC:11054","5q32"
