sep=,
"Input","Match type","Approved symbol","Approved name","HGNC ID","Location"
"TMEM178B","Approved symbol","TMEM178B","transmembrane protein 178B","HGNC:44112","7q34"
"MICA","Approved symbol","MICA","MHC class I polypeptide-related sequence A","HGNC:7090","6p21.33"
"STRIT1","Approved symbol","STRIT1","small transmembrane regulator of ion transport 1","HGNC:52297","3q25.2"
"TGFBR3L","Approved symbol","TGFBR3L","transforming growth factor beta receptor 3 like","HGNC:44152","19p13.2"
"NPIPB9","Approved symbol","NPIPB9","nuclear pore complex interacting protein family member B9","HGNC:41987","16p11.2"
"KRTAP9-6","Approved symbol","KRTAP9-6","keratin associated protein 9-6","HGNC:18914","17q21.2"
"RNF212B","Approved symbol","RNF212B","ring finger protein 212B","HGNC:20438","14q11.2"
"MUC22","Approved symbol","MUC22","mucin 22","HGNC:39755","6p21.33"
"C13orf46","Approved symbol","C13orf46","chromosome 13 open reading frame 46","HGNC:53786","13q34"
"AQP7B","Approved symbol","AQP7B","aquaporin 7B","HGNC:53895","2q11.1"
"SMC4","Approved symbol","SMC4","structural maintenance of chromosomes 4","HGNC:14013","3q25.33"
"GJC1","Approved symbol","GJC1","gap junction protein gamma 1","HGNC:4280","17q21.31"
"GJC1","Previous symbol","GJD3","gap junction protein delta 3","HGNC:19147","17q21.2"
"LY75-CD302","Approved symbol","LY75-CD302","LY75-CD302 readthrough","HGNC:38828","2q24.2"
